instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
sc50a,36bfce2f419555712bf1b9a8477541199073c7654475d933475cea6db0abe2f2,50,48,130,optimal,,-64.57507705856447,-64.575077059,4.355200644567958e-10,6.744398679677553e-12,1,1,,1,0.0,0,0.014892,0.0007974,42,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
sc50b,bfc47ffcf8f037552130a75142a203dc768d82d15c3b7b9f718c444ffa472f15,50,48,118,optimal,,-69.99999999999999,-70.0,1.4210854715202004e-14,2.0301221021717148e-16,1,1,,1,0.0,0,0.016557,0.0008113,42,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scagr25,7bac79b91dec46966af26a236d593c823f1e61eb055597426365e4f6bc36df76,471,500,1554,optimal,,-14753433.060768533,-14753433.061,0.00023146718740463257,1.5689039049257294e-11,1,1,,1,0.0,0,0.024888,0.0071899,457,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scagr7,2170c16fd0cc04a823172c1564e89593e75aac5225e2c2f893a6837ba0b26085,129,140,420,optimal,,-2331389.824330984,-2331389.2548,0.5695309839211404,2.442882426212426e-07,1,1,,1,0.0,0,0.019443,0.0013947,111,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scfxm1,3e602523ca64bb4fd7387da7eca577d964e08d7c04326c59937a0d58add7de25,330,457,2589,optimal,,18416.759028348937,18416.759028,3.4893673728220165e-07,1.89466961451629e-11,1,1,,1,0.0,0,0.028837,0.0098711,451,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scfxm2,64d44da9d2e6329705e73b1e083f52a7560124c13af4c67ff60d55b0a46b0f0e,660,914,5183,optimal,,36660.26156499881,36660.261565,1.1932570487260818e-09,3.254905987537467e-14,1,1,,1,0.0,0,0.052866,0.0276267,922,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scfxm3,515b442feba7cb583e03d4466da264782d898cc69093848052a7fa98ba4eac7b,990,1371,7777,optimal,,54901.25454975145,54901.25455,2.4854671210050583e-07,4.527159062898059e-12,1,1,,1,0.0,0,0.079329,0.0565452,1478,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scorpion,39b61cae042ce4adffb441faec77f5cc003fa725baa25edfb1738aef93a83c5d,388,358,1426,optimal,,1878.1248227381068,1878.1248227,3.810669113590848e-08,2.0289754267304842e-11,1,1,,1,0.0,0,0.022701,0.0042176,242,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scrs8,33b12d5e3d07b47a8b837ab0bf445fbfb5980af5c825bf049c23e71fb3faf026,490,1169,3182,optimal,,904.2969538007919,904.29998619,0.003032389208101449,3.3533000712269414e-06,0,1,,0,0.0,0,0.038396,0.0172932,610,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scsd1,8c4aac4987a81ef66715b5cb2debdb1993afe6cb5e2a29f32556a03802bf55f5,77,760,2388,optimal,,8.666666674333364,8.6666666743,3.3363534157615504e-11,3.8496385532573e-12,1,1,,1,0.0,0,0.024017,0.0050867,144,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
scsd6,f3da742cfa24cfadb99d510847ea1f7a361ba61537d4c2900c09b674912a5891,147,1350,4316,optimal,,50.50000007714435,50.500000078,8.556497732570278e-10,1.694355984030555e-11,1,1,,1,0.0,0,0.036319,0.0141008,363,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
