instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,true,10000,5160,optimal,84139.99999999984,84140.0,1.6007106751203537e-10,1.902437217875391e-15,0.404026,0.596082,2000,0.220549,4.830005e-05,1.2649,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cpu,false,10000,10000,iteration_limit,184419.99998921767,184420.0,1.0782328899949789e-05,5.846615822551669e-11,0.480252,0.642087,2000,0.09864,4.753088e-05,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cpu,true,10000,10000,iteration_limit,184419.9999338732,184420.0,6.612681318074465e-05,3.5856638748912616e-10,0.368667,0.579241,2000,0.076028,3.657989e-05,0.7696,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,false,10000,10000,iteration_limit,184419.99995842713,184420.0,4.1572871850803494e-05,2.254249639453611e-10,0.640502,0.805512,2000,0.22643,5.106964e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,true,10000,10000,iteration_limit,184419.9999293264,184420.0,7.067358819767833e-05,3.83220844798169e-10,0.620434,0.901466,2000,0.221567,4.985836e-05,0.9763,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cpu,false,10000,10000,optimal,718697.9999999974,718698.0,2.561137080192566e-09,3.563578972242257e-15,1.547119,1.751287,2000,0.316931,1.539918e-04,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cpu,true,10000,8720,optimal,718697.9999999994,718698.0,5.820766091346741e-10,8.099043118732404e-16,1.007212,1.232932,2000,0.241144,1.139982e-04,0.7403,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,false,10000,8760,optimal,718697.9999999998,718698.0,2.3283064365386963e-10,3.2396172474929614e-16,0.716616,0.975443,2000,0.32783,5.399807e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,true,10000,10000,iteration_limit,718697.999999998,718698.0,1.979060471057892e-09,2.7536746603690173e-15,0.683459,0.943841,2000,0.239722,5.576490e-05,1.0327,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cpu,false,10000,10000,iteration_limit,1355466.9999998996,1355467.0,1.0035000741481781e-07,7.403353044730547e-14,3.169117,3.414611,2000,0.652084,3.146913e-04,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cpu,true,10000,10000,iteration_limit,1355466.999999953,1355467.0,4.7031790018081665e-08,3.469784953678818e-14,2.387785,2.606403,2000,0.501033,2.365570e-04,0.7517,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,false,10000,10000,iteration_limit,1355467.0000007406,1355467.0,7.406342774629593e-07,5.464052444382336e-13,0.884268,1.208496,2000,0.289848,7.464479e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,true,10000,10000,iteration_limit,1355467.0000000119,1355467.0,1.1874362826347351e-08,8.760348150377214e-15,0.796204,1.059905,2000,0.27154,6.428800e-05,0.8613,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
