instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
primalc1,c125cdda17e711a4b0a8f360513388c063253021acbf0a57daec02efc38b04eb,9,230,2070,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",26516.27330871077,-6155.2508,32671.52410871077,5.3079111104149925,0,0.0,0.0003097365191990775,70205.18854407288,0.0,6.354562818002471e-08,1.6069336619108434,0,0,0,0,,,0,4.128895,3.963889547,1000000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
primalc2,a71fe8ca55669b80621021dbab4b7d2f061a885b9982668725e0f5e65ab2c5d0,7,231,1617,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",11507.672351671248,-3551.3077,15058.980051671248,4.240404190172327,0,6604.145739346355,0.00033488748387355827,44983.62334540629,0.08307800427103555,6.146598926180887e-08,1.3437593857699484,0,0,0,0,,,0,3.928105,3.687184583,1000000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
primalc5,94492ebf96066922c6e44a07f3da314a46425ac1be86470a0331f978ae1496c9,8,287,2296,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",5678.315780179045,-427.23233,6105.548110179045,14.29093184539439,0,7616.782392223289,1.4570841983641003e-05,12605.848577723777,0.42633490973306964,1.2178027282200215e-08,1.8196736047488025,0,0,0,0,,,0,5.245884,4.672471784,1000000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
primalc8,2b56d47e05f74ffb58e62e9364f912ba929eded5a5ff20897562d5beded328f5,8,520,4160,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",-28320.575326797494,-18309.43,10011.145326797494,0.5467753680369893,0,63884.19249585566,0.0005103585015433509,62496.12752654424,0.24686175454971254,1.2433154383545225e-07,0.6881567549029842,0,0,0,0,,,0,8.617392,8.124016462,1000000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
q25fv47,1033975a3fc0242129ed29617c352e1afcf099eee2cd9eba875710a1f799538d,820,1571,10400,time_limit,"stopped at the time limit of 29.9983s after 30.00s, 132917 iterations, 0 nodes",13611927.217060458,13744448.0,132520.78293954208,0.00964176829360787,0,1.3932247713890211,73.00119337071209,254757.98937592283,0.00027491796001579766,0.0019448248082235909,0.018371945824346904,0,0,0,0,,,0,30.255551,29.998739916,132917,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
qadlittl,e06c4d9a3afa6c3cadaf62551aa3d1668d430c24a8d3aeb8e615f4464d52cbfe,56,97,383,feasible,"the in-process KKT check does not back the optimal claim (complementary slackness: |multiplier| * slack = 2.426e-05 on row 5); reported as feasible, not optimal (#590)",480318.85859279655,480318.86,0.0014072034391574562,2.929727637922559e-09,0,8.755954183925496e-09,6.819590225859429e-07,0.00011900364188477397,3.700741413324685e-12,1.9293307020455024e-10,2.477596699688666e-10,0,0,0,0,1,,0,0.978755,0.725621936,385900,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
qafiro,f914d7af0a75383dcb1b7993512b5772d09752e34d95cc22a48a356537be798a,27,32,83,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 6.994e-07 (6.994e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",-1.5907881532281911,-1.5907818,6.353228191091631e-06,3.993777267939343e-06,0,,,,,,,0,0,0,0,,,0,0.181632,0.007465383,9800,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
qbandm,77ceb14be33f7c2d5b9291e7e22ac5fff024faf3406aab9b261c5a77ba6c888f,305,472,2494,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",16357.85719383262,16352.342,5.515193832619843,0.0003372724122709666,0,0.002173871411841347,0.02102036413743793,122.48457044983297,2.4652491977357847e-06,6.191334951756588e-05,0.007487812676101191,0,0,0,0,,,0,8.000727,7.756438146,1000000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
qbeaconf,7f1545831d39c8c606ac68f512a6aa32e0bcb50fe6c502762e6f2fc8e66b0a27,173,262,3375,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",164756.60269686877,164712.06,44.54269686876796,0.0002704276594486643,0,0.036571568965410084,0.021631359226869762,6.800771140871802,1.3012231641153663e-05,5.596239486926137e-06,4.1277684958000486e-05,0,0,0,0,,,0,4.620528,4.447412528,1000000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
qbore3d,773406ab95ea862bd59d8a088aaa9a4ffe32e3788f4ba620ffb0d9cf8580153c,233,315,1429,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",11505.48953632348,3100.2008,8405.288736323479,2.711207847028321,0,3.137556480498219,448589.44633153063,1894858730.2642782,0.0011335273650997998,0.0003963489904891278,0.9999939280857765,0,0,0,0,,,0,4.355235,4.142920077,1000000,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
